Time,IndexTipX,IndexTipY,IndexTipZ,Trial
0.368207,-0.160745,5.485259,-0.929201,6
0.385464,-0.157501,5.485544,-0.930057,6
0.391159,-0.159052,5.485411,-0.930693,6
0.400948,-0.156705,5.485035,-0.931638,6
0.412680,-0.153647,5.485013,-0.932850,6
0.423345,-0.148196,5.485559,-0.933631,6
0.434697,-0.140696,5.486271,-0.934320,6
0.445560,-0.131930,5.487280,-0.934652,6
0.457463,-0.122126,5.487914,-0.936188,6
0.467422,-0.111348,5.487411,-0.939007,6
0.478835,-0.101130,5.486302,-0.942801,6
0.490532,-0.086437,5.485126,-0.945803,6
0.500676,-0.073208,5.484117,-0.948442,6
0.512262,-0.057293,5.483821,-0.948643,6
0.523317,-0.042394,5.483800,-0.947933,6
0.534568,-0.031551,5.483907,-0.945654,6
0.544863,-0.021477,5.483047,-0.943674,6
0.557417,-0.013918,5.482042,-0.942799,6
0.568371,-0.007887,5.482104,-0.941327,6
0.578665,-0.005206,5.481499,-0.941922,6
0.590212,-0.001949,5.480909,-0.942647,6
0.601295,-0.000114,5.480456,-0.943731,6
0.612113,0.001101,5.480075,-0.944853,6
0.622857,0.002344,5.479735,-0.946024,6
0.634548,0.002968,5.479731,-0.946523,6
0.645374,0.003808,5.479212,-0.947844,6
0.656891,0.004137,5.478755,-0.948822,6
0.674863,0.005813,5.478155,-0.949458,6
0.679416,0.003499,5.478041,-0.949183,6
0.690556,0.001996,5.477633,-0.949181,6
0.700934,-0.000914,5.477746,-0.947810,6
0.712631,-0.004479,5.477767,-0.947016,6
0.723822,-0.006566,5.477927,-0.945531,6
0.734089,-0.007195,5.478133,-0.944498,6
0.745392,-0.007221,5.478992,-0.942536,6
0.756745,-0.006143,5.480212,-0.939578,6
0.768167,-0.005092,5.481252,-0.937379,6
0.778572,-0.004554,5.481890,-0.936095,6
0.790659,-0.004750,5.482509,-0.935322,6
0.801680,-0.004451,5.483540,-0.934372,6
0.812550,-0.003153,5.484473,-0.934118,6
0.822894,-0.002334,5.485620,-0.933414,6
0.835539,-0.001772,5.486984,-0.932293,6
0.845442,-0.001105,5.487794,-0.931617,6
0.856846,-0.000726,5.488270,-0.930955,6
0.008361,0.000443,5.488501,-0.931242,7
0.019128,0.002423,5.488434,-0.932570,7
0.031097,0.003580,5.488140,-0.935141,7
0.040553,0.003944,5.487270,-0.939203,7
0.052165,0.003045,5.486252,-0.944053,7
0.069042,0.002180,5.485471,-0.949067,7
0.074497,0.003613,5.484313,-0.953215,7
0.085769,0.005291,5.483251,-0.957651,7
0.096781,0.007286,5.481921,-0.961000,7
0.107808,0.010222,5.479809,-0.965146,7
0.118240,0.012353,5.477469,-0.969691,7
0.130253,0.014272,5.475500,-0.973472,7
0.141312,0.015239,5.473739,-0.976320,7
0.152023,0.016008,5.471894,-0.978971,7
0.163577,0.016455,5.470961,-0.978358,7
0.174650,0.016615,5.470776,-0.977209,7
0.185563,0.016214,5.471056,-0.975557,7
0.196339,0.012335,5.471486,-0.972746,7
0.208331,0.006404,5.472058,-0.970045,7
0.218824,0.000847,5.472144,-0.969010,7
0.230714,-0.004265,5.472843,-0.966757,7
0.240994,-0.006893,5.473676,-0.964928,7
0.252447,-0.008173,5.475026,-0.962370,7
0.263872,-0.009344,5.476258,-0.959617,7
0.274323,-0.011897,5.477615,-0.957001,7
0.285558,-0.015256,5.478997,-0.954581,7
0.296657,-0.018858,5.480130,-0.953537,7
0.307616,-0.023043,5.481417,-0.952758,7
0.318519,-0.024794,5.483147,-0.952511,7
0.330562,-0.028785,5.484948,-0.952535,7
0.341311,-0.032952,5.486996,-0.953478,7
0.351829,-0.038282,5.488500,-0.954018,7
0.363849,-0.047990,5.489388,-0.957057,7
0.374616,-0.055608,5.489963,-0.958871,7
0.385243,-0.065885,5.490496,-0.962363,7
0.396380,-0.075519,5.490658,-0.965843,7
0.408075,-0.086037,5.490359,-0.970016,7
0.418803,-0.094472,5.490039,-0.973676,7
0.430256,-0.105147,5.488847,-0.979057,7
0.440602,-0.113835,5.487818,-0.983670,7
0.452352,-0.121819,5.487010,-0.987885,7
0.464399,-0.132043,5.486079,-0.992303,7
0.473779,-0.138140,5.484973,-0.995273,7
0.485508,-0.146370,5.483425,-0.998443,7
0.497375,-0.152074,5.482577,-1.000618,7
0.007335,-0.157395,5.481573,-1.001918,8
0.018242,-0.161869,5.480783,-1.002559,8
0.029885,-0.168042,5.479360,-1.003673,8
0.040888,-0.173775,5.477577,-1.005588,8
0.051419,-0.179204,5.476258,-1.006839,8
0.064702,-0.187703,5.474205,-1.008154,8
0.073896,-0.191739,5.473001,-1.008695,8
0.085726,-0.197174,5.471322,-1.008154,8
0.096697,-0.201236,5.469606,-1.008103,8
